teencode;mean
qhe;quan hệ
qhệ;quan hệ
qq;quằn què
qtam;quan tâm
qtâm;quan tâm
qtrọng;quan trọng
quí;quý
r;rồi
răg;răng
rằg;rằng
rì;gì
riêg;riêng
rồii;rồi
sđt;số điện thoại
sg;sài gòn
sml;sấp mặt lờ
snvv;sinh nhật vui vẻ
snghĩ;suy nghĩ
sốg;sống
sr;sorry
stk;số tài khoản
sub;subcribe
sv;sinh viên
sviên;sinh viên
svtn;sinh viên tình nguyện
t;tao
tcảm;tình cảm
tđn;thế đéo nào
tgdd;thế giới di động
tgian;thời gian
tiếg;tiếng
tìh;tình
tíh;tính
tks;thanks
tlai;tương lai
tnào;thế nào
tq;trung quốc
từg;từng
tưởg;tưởng
tượg;tượng
tyêu;tình yêu
tym;tim
thàh;thành
thằg;thằng
thẳg;thẳng
thgian;thời gian
thíck;thích
thich;thích
thik;thích
thík;thích
thjc;thích
thjk;thích
thoy;thôi
thôii;thôi
thpt;trung học phổ thông
thui;thôi
thuj;thôi
thuơng;thương
thươg;thương
thườg;thường
thỳ;thì
thým;thím
trag;trang
trc;trước
trieu;triệu
troai;trai
trog;trong
trọg;trọng
trườg;trường
u hai ba;u23
uh;ừ
uhm;ừm
uk;ừ
ukm;ừm
unf;unfriend
uốg;uống
ừng;đừng
vc;vợ chồng
vd;ví dụ
vde;vấn đề
vđ;vãi đái
vđê;vấn đề
vk;vợ
vn;việt nam
vọg;vọng
vớii;với
vs;với
vv;vui vẻ
wa;quá
wá;quá
wtâm;quan tâm
wtf;what the fuck
xg;xuống
xih;xinh
xink;xinh
xl;xin lỗi
xloi;xin lỗi
xog;xong
xug;xùng
xuốg;xuống
ytb;youtube
z;vậy
z là;vậy là
zà;già
zạ;vậy
zám;dám
zậy;vậy
zẻ;vẻ
zìa;gì
zô;vô
zô;dô
zồi;rồi
zú;vú
zui;vui
zùi;rồi
zữ;dữ
zừa;vừa
